E(MeV),cross-section(b),sigma(b),Marker,Reference
6.554049,4.0521987E-05,1.8760049E-05,^,Thomas86
6.7729607,7.9527825E-05,4.1564945E-05,^,Thomas86
7.020231,1.3934537E-04,5.2376010E-05,^,Thomas86
7.2517767,2.558577E-04,8.805836E-05,^,Thomas86
7.5087256,4.6337934E-04,9.7642920E-05,^,Thomas86
7.753106,8.735662E-04,0.0001527033,^,Thomas86
7.9913087,0.0017255007,0,^,Thomas86
8.2290325,0.0030238547,0,^,Thomas86
8.476276,0.005263164,0,^,Thomas86
8.717236,0.00934638,0,^,Thomas86
8.954826,0.015843537,0,^,Thomas86
9.185815,0.025300102,0,^,Thomas86
9.426295,0.03986073,0,^,Thomas86
9.666564,0.05954823,0,^,Thomas86
9.913302,0.09134692,0,^,Thomas86
10.156301,0.12187293,0,^,Thomas86
10.395957,0.15625007,0,^,Thomas86
10.64789,0.1788754,0,^,Thomas86
10.897093,0.22929323,0,^,Thomas86
11.129775,0.25231427,0,^,Thomas86
11.366011,0.30471382,0,^,Thomas86
11.608078,0.32214087,0,^,Thomas86
11.850412,0.36397684,0,^,Thomas86
12.102132,0.39509794,0,^,Thomas86
12.347542,0.4346692,0,^,Thomas86