E(MeV),KR87a(MeV-b),KR87aigma(MeV-b),Marker,Reference
0.00209663,0.197171,0,o,RA02
0.00235106,0.141183,0,o,RA02
0.00260140,0.125565,0,o,RA02
0.00281879,0.0989129,0,o,RA02
0.00309215,0.0994105,0,o,RA02
0.00333458,0.0942640,0,o,RA02
0.00355435,0.0875344,0,o,RA02
0.00385977,0.0896292,0,o,RA02
0.00437157,0.0806621,0,o,RA02
0.00408557,0.0792799,0,D,GR95
0.00373616,0.0729518,0,D,GR95
0.00449941,0.0748010,0,D,GR95
0.00492826,0.0708000,0,D,GR95
0.00522450,0.0664967,0,D,GR95
0.00580306,0.0642989,0,D,GR95
0.00527366,0.0628816,0,D,GR95
0.00471128,0.0607179,0,D,GR95
0.00439626,0.0584694,0,o,RA02
0.00398267,0.0603033,0,o,RA02
0.00397043,0.0568437,0,o,RA02
0.00371345,0.0588139,0,o,RA02
0.00373090,0.0565338,0,o,RA02
0.00348396,0.0596476,0,D,GR95
0.00348678,0.0565588,0,D,GR95
0.00324080,0.0606582,0,D,GR95
0.00321826,0.0587054,0,D,GR95
0.00321582,0.0566351,0,D,GR95
0.00299600,0.0588916,0,D,GR95
0.00289977,0.0565310,0,D,GR95
0.00274176,0.0593743,0,D,GR95
0.00200088,0.0583276,0,D,GR95
0.00244742,0.0594000,0,D,GR95
0.00218467,0.0599410,0,D,GR95
0.00202901,0.0625279,0,D,GR95
0.00177499,0.0587252,0,s,KR87a
0.00161534,0.0737732,0,s,KR87a
0.00573616,0.0567446,0,s,KR87a
0.00624855,0.0570559,0,s,KR87a
0.00653671,0.0600085,0,s,KR87a
0.00683297,0.0612768,0,s,KR87a
0.00773858,0.0607514,0,s,KR87a
0.00721556,0.0578933,0,s,KR87a
0.00767313,0.0544735,0,s,KR87a
0.00874417,0.0557777,0,s,KR87a
0.00822914,0.0591986,0,s,KR87a
0.00951015,0.0591734,0,s,KR87a
0.00968140,0.0636656,0,s,KR87a
0.0103515,0.0600685,0,s,KR87a
0.0113644,0.0588269,0,s,KR87a
0.0111199,0.0555274,0,s,KR87a
0.0116606,0.0527482,0,s,KR87a
0.0124766,0.0561121,0,s,KR87a
0.0125747,0.0511670,0,o,RA02
0.0138262,0.0523678,0,o,RA02
0.0134858,0.0559856,0,o,RA02
0.0145992,0.0571692,0,o,RA02
0.0155971,0.0568591,0,o,RA02
0.0127210,0.0604819,0,o,RA02
0.0145643,0.0632382,0,o,RA02
0.0157182,0.0612590,0,o,RA02
0.0194217,0.0611225,0,o,RA02
0.0172568,0.0566538,0,o,RA02
0.0187110,0.0557860,0,o,RA02
0.0163434,0.0504768,0,o,RA02
0.0205908,0.0501817,0,o,RA02
0.0203031,0.0567330,0,o,RA02
0.0211568,0.0603506,0,o,RA02
0.0233905,0.0574089,0,o,RA02
0.0243188,0.0547839,0,s,KR87a
0.0267391,0.0567103,0,s,KR87a
0.0243357,0.0633597,0,s,KR87a
0.0247551,0.0661854,0,s,KR87a
0.0282987,0.0663076,0,s,KR87a
0.0301868,0.0632473,0,s,KR87a
0.0306615,0.0585184,0,s,KR87a
0.0341881,0.0610738,0,s,KR87a
0.0332167,0.0662194,0,s,KR87a
0.0379716,0.0664925,0,s,KR87a
0.0372706,0.0625354,0,s,KR87a
0.0372726,0.0569206,0,o,RA02
0.0423103,0.0584158,0,o,RA02
0.0300489,0.0543645,0,o,RA02
0.0434793,0.0555423,0,o,RA02
0.0348347,0.0544156,0,o,RA02
0.0390846,0.0547641,0,o,RA02
0.0499744,0.0560510,0,o,RA02
0.0536389,0.0580744,0,o,RA02
0.0492780,0.0593272,0,o,RA02
0.0487049,0.0626240,0,o,RA02
0.0536360,0.0637161,0,o,RA02
0.0588377,0.0638042,0,o,RA02
0.0848652,0.0729968,0,o,RA02
0.0640447,0.0621736,0,o,RA02
0.0617433,0.0664083,0,o,RA02
0.0728696,0.0655410,0,o,RA02
0.0728696,0.0655410,0,o,RA02
0.0827807,0.0704221,0,o,RA02
0.0619827,0.0685550,0,o,RA02
0.0559327,0.0723961,0,o,RA02
0.0425730,0.0619430,0,o,RA02
0.0446398,0.0667065,0,o,RA02
0.0433703,0.0752437,0,o,RA02
0.0474648,0.0774306,0,o,RA02
0.0622715,0.0708354,0,o,RA02
0.0559338,0.0701292,0,o,RA02
0.104207,0.0772317,0,*,LE06a
0.122506,0.0783300,0,^,TU11
0.114755,0.0815622,0,*,LE06a
0.136487,0.0855516,0,^,TU11
0.149140,0.0876787,0,*,LE06a
0.165264,0.0905147,0,^,TU11
0.179882,0.0948972,0,*,LE06a
0.202294,0.100219,0,^,TU11
0.201349,0.103223,0,*,LE06a
0.225036,0.104358,0,^,TU11
0.228739,0.107389,0,*,LE06a
0.246087,0.109609,0,^,TU11
0.261473,0.114655,0,*,LE06a
0.334051,0.126200,0,^,TU11
0.283498,0.118794,0,*,LE06a
0.282391,0.123305,0,^,TU11
0.315861,0.123251,0,*,LE06a
0.320550,0.133031,0,^,TU11
0.351639,0.131710,0,*,LE06a
0.351624,0.141966,0,^,TU11
0.386630,0.139538,0,*,LE06a
0.386316,0.147963,0,^,TU11
0.418871,0.144641,0,*,LE06a
0.414643,0.153305,0,^,TU11
0.445061,0.150888,0,*,LE06a
0.451318,0.161753,0,^,TU11
0.485182,0.157906,0,*,LE06a
0.495851,0.165624,0,^,TU11
0.525645,0.161832,0,*,LE06a
0.513508,0.169125,0,^,TU11
0.549897,0.164727,0,*,LE06a
0.530138,0.174831,0,^,TU11
0.577057,0.169128,0,*,LE06a
0.561108,0.176911,0,^,TU11
0.598066,0.175392,0,*,LE06a
0.594342,0.182549,0,^,TU11
0.627601,0.182053,0,*,LE06a
0.626612,0.188880,0,^,TU11
0.666334,0.184387,0,*,LE06a
0.712964,0.194548,0,^,TU11
0.676241,0.191128,0,*,LE06a
0.704130,0.202578,0,^,TU11
0.779657,0.204432,0,*,LE06a
0.797424,0.213064,0,^,TU11
0.856583,0.211620,0,*,LE06a
0.833558,0.220855,0,^,TU11
0.909439,0.217769,0,*,LE06a
0.970830,0.223385,0,^,TU11
0.874051,0.225625,0,*,LE06a
0.943264,0.233664,0,^,TU11
1.04203,0.228627,0,*,LE06a
0.999133,0.240782,0,^,TU11
1.08586,0.237958,0,*,LE06a
1.03713,0.246318,0,^,TU11
1.14126,0.244316,0,*,LE06a
1.09344,0.254283,0,^,TU11
1.22210,0.249027,0,*,LE06a
1.13767,0.261314,0,^,TU11
1.26168,0.258602,0,*,LE06a
1.21069,0.271363,0,^,TU11
1.28042,0.274591,0,*,LE06a
1.35737,0.264550,0,^,TU11
1.42331,0.269160,0,*,LE06a
1.39479,0.277229,0,^,TU11
1.42549,0.280271,0,*,LE06a
1.49236,0.305689,0,^,TU11
1.49591,0.283090,0,*,LE06a
1.24504,0.281540,0,2,SC72
2.50481,0.417945,0,2,SC72
1.73534,0.334483,0,2,SC72
1.98984,0.363996,0,2,SC72
2.22731,0.394495,0,2,SC72
2.68010,0.441176,0,2,SC72
2.79722,0.449069,0,2,SC72
3.01873,0.464014,0,2,SC72