E(MeV),S*(MeV-b),sigma(MeV-b),Marker,Reference
2.7692785,1.73329654E+16,5.23571980E+15,*,Barker
2.8824627,1.9560795E+16,5.8711430E+15,*,Barker
2.9751244,1.84132184E+16,5.33332510E+15,*,Barker
3.0783582,3.8716515E+16,3.7691170E+15,*,Barker
3.1741292,1.80369857E+16,1.81438960E+15,*,Barker
3.272388,1.05451981E+16,1.10363470E+15,*,Barker
3.3818407,1.59121591E+16,1.6653274E+15,*,Barker
3.5031095,1.53588707E+16,1.4952113E+15,*,Barker
3.5310946,1.34698507E+16,1.35496980E+15,*,Barker
3.5771143,1.2438862E+16,1.2512593E+15,*,Barker
3.613184,1.30976993E+16,1.30690910E+15,*,Barker
3.664801,1.36699489E+16,1.48643450E+15,*,Barker
3.738184,1.40998826E+16,1.4297914E+15,*,Barker
3.7761195,1.41832952E+16,1.31206740E+15,*,Barker
3.8264925,1.06075825E+16,1.04125030E+15,*,Barker
3.8787313,9.112849E+15,9.09294E+14,*,Barker
3.9297264,8.8089624E+15,8.646966E+14,*,Barker
3.988184,1.20063449E+16,1.09135440E+15,*,Barker
4.039801,1.28300766E+16,1.35321860E+15,*,Barker
4.113806,2.97346534E+16,3.20896980E+15,*,Barker
4.167289,1.9560795E+16,1.9835512E+15,*,Barker
4.217662,2.99105581E+16,3.03306510E+15,*,Barker
4.278607,5.1920374E+16,5.0965580E+15,*,Barker
4.3152986,4.6347495E+16,4.3622300E+15,*,Barker
4.330846,4.1008343E+16,4.2918320E+15,*,Barker
4.4241295,3.37550027E+16,3.4503273E+15,*,Barker
4.483209,2.753985E+16,2.8822538E+15,*,Barker
4.5273633,3.00875043E+16,3.00217790E+15,*,Barker
4.574627,1.86042672E+16,2.0077748E+15,*,Barker
4.625,2.51707739E+16,2.61381840E+15,*,Barker
4.6604476,2.51707739E+16,2.73700450E+15,*,Barker
4.707711,1.90203593E+16,1.91330920E+15,*,Barker
4.7643037,2.14967451E+16,2.14497970E+15,*,Barker
4.822761,3.02208996E+16,2.94205470E+15,*,Barker
4.875,2.54694675E+16,2.7486695E+15,*,Barker
4.9247513,6.2521508E+16,6.5942910E+15,*,Barker
4.9689054,5.5810755E+16,5.7955770E+15,*,Barker
5.016791,5.5893115E+16,5.5771010E+15,*,Barker
5.1119404,3.08968029E+16,3.15817530E+15,*,Barker
5.16107,2.36243001E+16,2.49171030E+15,*,Barker
5.2195272,2.21728395E+16,2.10480460E+15,*,Barker
5.2549753,2.204244E+16,2.0746389E+15,*,Barker
5.306592,2.3209941E+16,2.3347507E+15,*,Barker
5.3893037,2.34162046E+16,2.52708150E+15,*,Barker
5.467662,2.07186989E+16,1.9500461E+15,*,Barker
5.516791,2.03853407E+16,1.93512120E+15,*,Barker
5.567164,2.22055607E+16,2.28783460E+15,*,Barker
5.618781,2.99105581E+16,2.74288000E+15,*,Barker
5.6685324,4.520009E+16,4.290711E+15,*,Barker
5.70398,3.9993121E+16,4.1204800E+15,*,Barker
5.7574625,2.4152667E+16,2.4295835E+15,*,Barker
5.8034825,1.99982804E+16,2.12557070E+15,*,Barker
5.8606963,1.36498066E+16,1.3398784E+15,*,Barker
5.9141793,1.39550896E+16,1.36984550E+15,*,Barker
5.9589553,2.50596696E+16,2.41933360E+15,*,Barker
5.999378,1.92460663E+16,1.96727320E+15,*,Barker
6.051617,1.30206712E+16,1.38393720E+15,*,Barker
6.108209,8.9530139E+15,9.151491E+14,*,Barker
6.1616917,7.3912173E+15,7.855957E+14,*,Barker
6.2064676,8.6417045E+15,8.8332820E+14,*,Barker
6.260572,1.86317206E+16,1.88934110E+15,*,Barker
6.3047266,1.05451981E+16,1.10363470E+15,*,Barker